agent_id,amount,timestamp
881,322.69,2023-01-01 05:28:17
331,483.74,2023-01-01 08:16:48
390,292.2,2023-01-01 04:08:06
939,337.62,2023-01-01 06:48:56
120,614.31,2023-01-01 04:33:32
944,296.61,2023-01-01 01:52:09
322,610.31,2023-01-01 03:54:15
633,673.16,2023-01-01 04:05:47
487,791.68,2023-01-01 06:59:14
362,269.23,2023-01-01 03:33:08
699,395.47,2023-01-01 07:11:07
857,320.63,2023-01-01 03:13:20
540,563.64,2023-01-01 04:31:33
765,273.03,2023-01-01 05:45:30
873,487.49,2023-01-01 03:15:37
47,564.84,2023-01-01 03:01:28
731,762.63,2023-01-01 07:28:18
76,801.76,2023-01-01 07:09:40
150,378.79,2023-01-01 01:32:57
491,573.94,2023-01-01 06:33:49
22,564.63,2023-01-01 05:00:52
702,195.7,2023-01-01 06:35:18
352,199.64,2023-01-01 02:02:52
971,772.64,2023-01-01 06:55:16
453,346.91,2023-01-01 02:35:00
259,525.11,2023-01-01 03:23:57
803,1050.5,2023-01-01 05:53:58
441,401.22,2023-01-01 03:11:52
121,229.4,2023-01-01 05:59:08
403,323.19,2023-01-01 03:38:42
442,602.36,2023-01-01 02:47:08
10073,247.97,2023-01-01 04:02:31
214,266.06,2023-01-01 09:56:59
586,757.43,2023-01-01 07:51:58
119,391.69,2023-01-01 03:14:44
548,542.01,2023-01-01 03:37:43
146,445.33,2023-01-01 10:20:19
44,210.13,2023-01-01 04:34:33
438,466.81,2023-01-01 06:33:06
537,770.3,2023-01-01 07:25:44
7,427.18,2023-01-01 05:17:21
139,380.39,2023-01-01 03:51:07
560,642.5,2023-01-01 04:57:09
10061,661.2,2023-01-01 04:04:56
750,665.69,2023-01-01 05:04:14
822,272.36,2023-01-02 02:41:28
843,602.56,2023-01-02 07:34:13
632,626.95,2023-01-02 04:52:48
163,359.91,2023-01-02 07:31:49
654,205.44,2023-01-02 05:31:50
570,817.74,2023-01-02 04:12:38
70,254.28,2023-01-02 03:05:38
123,753.5,2023-01-02 03:29:00
10030,676.48,2023-01-02 06:35:34
322,108.2,2023-01-02 05:41:29
10053,706.68,2023-01-02 03:13:55
624,780.73,2023-01-02 05:55:38
354,851.12,2023-01-02 05:38:19
941,725.89,2023-01-02 05:40:17
20,733.08,2023-01-02 08:46:32
177,366.36,2023-01-02 04:17:15
445,384.72,2023-01-02 05:12:32
850,760.38,2023-01-02 05:06:49
594,1050.72,2023-01-02 06:39:02
10110,565.24,2023-01-02 02:44:27
113,363.26,2023-01-02 01:16:02
328,539.57,2023-01-02 05:22:56
578,352.93,2023-01-02 02:37:08
10089,336.22,2023-01-02 01:29:32
81,1206.21,2023-01-02 06:41:46
466,608.3,2023-01-02 06:22:20
584,583.63,2023-01-02 05:23:11
800,318.39,2023-01-02 04:33:21
384,292.94,2023-01-02 12:19:00
343,969.41,2023-01-02 05:21:28
10043,762.82,2023-01-02 04:14:10
486,482.53,2023-01-02 06:46:17
687,702.72,2023-01-02 03:04:16
242,447.54,2023-01-02 02:02:58
196,318.17,2023-01-02 05:32:41
741,731.19,2023-01-02 03:38:43
10145,691.92,2023-01-02 05:41:58
50,340.29,2023-01-02 03:05:42
702,99.15,2023-01-02 06:04:46
782,691.51,2023-01-02 02:40:54
746,790.95,2023-01-02 05:20:26
992,176.69,2023-01-02 05:53:57
698,244.32,2023-01-02 02:45:07
26,381.45,2023-01-02 03:52:34
830,1072.86,2023-01-02 03:27:38
564,408.39,2023-01-02 08:22:13
41,951.75,2023-01-02 03:20:08
556,376.47,2023-01-02 04:28:15
537,169.88,2023-01-02 07:35:02
833,622.93,2023-01-02 06:44:11
51,603.34,2023-01-02 02:37:09
455,362.75,2023-01-02 04:18:40
10123,411.13,2023-01-02 02:58:34
296,570.91,2023-01-02 07:04:11
750,238.21,2023-01-02 01:48:30
11,248.57,2023-01-02 07:49:55
656,1164.2,2023-01-02 05:41:44
416,622.07,2023-01-02 02:25:18
465,513.53,2023-01-02 04:10:02
985,747.76,2023-01-02 04:57:16
10156,666.96,2023-01-02 05:11:12
749,476.1,2023-01-02 03:23:13
10081,771.16,2023-01-02 03:32:22
721,903.11,2023-01-02 04:41:54
10150,522.0,2023-01-02 05:27:00
134,283.61,2023-01-02 05:22:36
334,537.39,2023-01-02 05:37:42
257,840.3,2023-01-02 04:09:06
407,915.16,2023-01-02 07:06:47
10104,329.06,2023-01-02 04:07:17
902,971.99,2023-01-03 02:12:22
651,870.3,2023-01-03 04:58:32
629,846.37,2023-01-03 03:49:31
833,167.67,2023-01-03 04:01:50
405,521.19,2023-01-03 02:06:37
747,305.37,2023-01-03 01:53:57
852,531.04,2023-01-03 07:17:45
72,589.83,2023-01-03 09:26:04
909,329.1,2023-01-03 04:26:07
10098,264.48,2023-01-03 06:42:36
413,612.17,2023-01-03 06:23:19
50,181.97,2023-01-03 01:01:07
37,1461.57,2023-01-03 05:54:07
10199,588.21,2023-01-03 04:55:05
449,861.04,2023-01-03 03:26:06
10061,222.2,2023-01-03 02:10:58
568,1051.87,2023-01-03 05:14:08
10130,902.56,2023-01-03 02:02:47
73,1531.41,2023-01-03 01:32:03
280,313.48,2023-01-03 06:44:44
10124,524.35,2023-01-03 06:44:04
10040,516.35,2023-01-03 04:18:59
10084,805.95,2023-01-03 05:01:53
645,565.51,2023-01-03 05:11:54
631,950.09,2023-01-03 03:04:08
579,692.1,2023-01-03 03:38:02
100,261.55,2023-01-03 05:22:49
658,871.95,2023-01-03 07:26:14
674,506.7,2023-01-03 05:07:09
914,637.06,2023-01-03 05:09:01
10240,325.19,2023-01-03 06:40:38
988,335.74,2023-01-03 01:30:36
782,18.83,2023-01-03 06:54:53
605,467.62,2023-01-03 07:21:09
345,842.75,2023-01-03 02:00:08
709,967.26,2023-01-03 03:38:11
281,388.85,2023-01-03 05:34:51
149,859.76,2023-01-03 02:36:07
10036,296.94,2023-01-03 07:05:36
792,233.36,2023-01-03 04:14:41
660,933.24,2023-01-03 02:19:19
866,743.56,2023-01-03 07:30:41
10201,396.56,2023-01-03 05:41:54
595,1006.77,2023-01-03 05:31:40
10030,10.09,2023-01-03 08:32:59
34,849.22,2023-01-04 01:44:43
861,1553.16,2023-01-04 06:25:22
248,623.3,2023-01-04 09:28:03
10096,305.85,2023-01-04 05:07:12
166,368.92,2023-01-04 07:32:23
10215,235.42,2023-01-04 04:14:08
10274,602.11,2023-01-04 03:37:16
10354,393.55,2023-01-04 04:49:55
739,262.28,2023-01-04 07:59:57
400,541.78,2023-01-04 04:06:15
19,668.81,2023-01-04 03:31:15
933,1008.24,2023-01-04 04:27:00
383,543.91,2023-01-04 01:18:06
681,486.44,2023-01-04 05:05:10
128,713.45,2023-01-04 06:46:59
10246,391.94,2023-01-04 03:40:52
10184,625.4,2023-01-04 04:07:45
101,331.75,2023-01-04 08:15:58
212,808.44,2023-01-04 02:58:41
657,451.81,2023-01-04 07:38:37
10283,157.21,2023-01-04 05:29:13
976,881.7,2023-01-04 05:50:29
438,601.15,2023-01-04 02:39:33
103,906.96,2023-01-04 07:44:45
485,484.21,2023-01-04 04:49:10
42,446.16,2023-01-04 05:41:30
182,1488.21,2023-01-04 03:44:41
426,715.58,2023-01-04 04:03:09
378,555.93,2023-01-04 01:49:18
559,392.63,2023-01-04 10:16:41
184,418.14,2023-01-04 03:03:06
10015,299.25,2023-01-04 07:43:16
10225,895.45,2023-01-04 00:50:23
10140,1568.75,2023-01-04 03:51:11
791,1279.81,2023-01-04 07:25:12
560,507.3,2023-01-04 04:52:42
529,1539.22,2023-01-04 07:30:16
243,391.53,2023-01-04 06:13:50
488,297.2,2023-01-04 04:43:07
132,698.93,2023-01-04 03:58:29
10329,557.93,2023-01-04 03:58:38
10146,1146.41,2023-01-04 05:39:26
